Start: (-3.00, -3.00), Iterations: 93.0, Height: 1.056492 
Start: (-2.47, -3.00), Iterations: 61.0, Height: 1.646255 
Start: (-1.95, -3.00), Iterations: 21.0, Height: 0.276748 
Start: (-1.42, -3.00), Iterations: 85.0, Height: 2.275437 
Start: (-0.89, -3.00), Iterations: 13.0, Height: 1.854695 
Start: (-0.37, -3.00), Iterations: 45.0, Height: 3.000000 
Start: (0.16, -3.00), Iterations: 81.0, Height: 1.207130 
Start: (0.68, -3.00), Iterations: 87.0, Height: 0.744147 
Start: (1.21, -3.00), Iterations: 13.0, Height: 0.196794 
Start: (1.74, -3.00), Iterations: 65.0, Height: 2.081189 
Start: (2.26, -3.00), Iterations: 53.0, Height: 3.000000 
Start: (2.79, -3.00), Iterations: 61.0, Height: 1.854695 
Start: (3.32, -3.00), Iterations: 13.0, Height: 1.056492 
Start: (3.84, -3.00), Iterations: 81.0, Height: 3.000000 
Start: (4.37, -3.00), Iterations: 93.0, Height: 0.744147 
Start: (4.89, -3.00), Iterations: 61.0, Height: 3.000000 
Start: (5.42, -3.00), Iterations: 100.0, Height: 3.000000 
Start: (5.95, -3.00), Iterations: 93.0, Height: 1.056492 
Start: (6.47, -3.00), Iterations: 100.0, Height: 1.854695 
Start: (7.00, -3.00), Iterations: 41.0, Height: 2.464491 
Start: (-3.00, -2.47), Iterations: 27.0, Height: 2.081189 
Start: (-2.47, -2.47), Iterations: 61.0, Height: 2.464491 
Start: (-1.95, -2.47), Iterations: 67.0, Height: 0.276748 
Start: (-1.42, -2.47), Iterations: 13.0, Height: 1.056492 
Start: (-0.89, -2.47), Iterations: 25.0, Height: 1.207130 
Start: (-0.37, -2.47), Iterations: 53.0, Height: 1.056492 
Start: (0.16, -2.47), Iterations: 33.0, Height: 1.056492 
Start: (0.68, -2.47), Iterations: 25.0, Height: 0.744147 
Start: (1.21, -2.47), Iterations: 73.0, Height: 2.289754 
Start: (1.74, -2.47), Iterations: 21.0, Height: 0.196794 
Start: (2.26, -2.47), Iterations: 25.0, Height: 1.646255 
Start: (2.79, -2.47), Iterations: 41.0, Height: 2.275437 
Start: (3.32, -2.47), Iterations: 25.0, Height: 3.000000 
Start: (3.84, -2.47), Iterations: 13.0, Height: 2.464491 
Start: (4.37, -2.47), Iterations: 87.0, Height: 1.854695 
Start: (4.89, -2.47), Iterations: 53.0, Height: 2.397101 
Start: (5.42, -2.47), Iterations: 27.0, Height: 1.207130 
Start: (5.95, -2.47), Iterations: 73.0, Height: 3.000000 
Start: (6.47, -2.47), Iterations: 61.0, Height: 2.289754 
Start: (7.00, -2.47), Iterations: 73.0, Height: 1.207130 
Start: (-3.00, -1.95), Iterations: 7.0, Height: 2.397101 
Start: (-2.47, -1.95), Iterations: 73.0, Height: 0.196794 
Start: (-1.95, -1.95), Iterations: 85.0, Height: 1.854695 
Start: (-1.42, -1.95), Iterations: 21.0, Height: 2.069271 
Start: (-0.89, -1.95), Iterations: 33.0, Height: 2.081189 
Start: (-0.37, -1.95), Iterations: 25.0, Height: 3.000000 
Start: (0.16, -1.95), Iterations: 33.0, Height: 3.000000 
Start: (0.68, -1.95), Iterations: 47.0, Height: 1.056492 
Start: (1.21, -1.95), Iterations: 13.0, Height: 1.854695 
Start: (1.74, -1.95), Iterations: 7.0, Height: 0.567170 
Start: (2.26, -1.95), Iterations: 65.0, Height: 1.056492 
Start: (2.79, -1.95), Iterations: 27.0, Height: 3.000000 
Start: (3.32, -1.95), Iterations: 73.0, Height: 2.397101 
Start: (3.84, -1.95), Iterations: 85.0, Height: 2.275437 
Start: (4.37, -1.95), Iterations: 53.0, Height: 1.207130 
Start: (4.89, -1.95), Iterations: 47.0, Height: 2.464491 
Start: (5.42, -1.95), Iterations: 73.0, Height: 1.056492 
Start: (5.95, -1.95), Iterations: 13.0, Height: 1.854695 
Start: (6.47, -1.95), Iterations: 53.0, Height: 0.744147 
Start: (7.00, -1.95), Iterations: 61.0, Height: 1.056492 
Start: (-3.00, -1.42), Iterations: 21.0, Height: 2.464491 
Start: (-2.47, -1.42), Iterations: 61.0, Height: 1.056492 
Start: (-1.95, -1.42), Iterations: 53.0, Height: 2.069271 
Start: (-1.42, -1.42), Iterations: 93.0, Height: 1.646255 
Start: (-0.89, -1.42), Iterations: 25.0, Height: 0.291594 
Start: (-0.37, -1.42), Iterations: 13.0, Height: 0.196794 
Start: (0.16, -1.42), Iterations: 67.0, Height: 1.854695 
Start: (0.68, -1.42), Iterations: 100.0, Height: 1.056492 
Start: (1.21, -1.42), Iterations: 53.0, Height: 0.276748 
Start: (1.74, -1.42), Iterations: 41.0, Height: 2.397101 
Start: (2.26, -1.42), Iterations: 41.0, Height: 0.567170 
Start: (2.79, -1.42), Iterations: 41.0, Height: 1.854695 
Start: (3.32, -1.42), Iterations: 65.0, Height: 3.000000 
Start: (3.84, -1.42), Iterations: 73.0, Height: 3.000000 
Start: (4.37, -1.42), Iterations: 7.0, Height: 3.000000 
Start: (4.89, -1.42), Iterations: 67.0, Height: 0.233544 
Start: (5.42, -1.42), Iterations: 81.0, Height: 1.854695 
Start: (5.95, -1.42), Iterations: 81.0, Height: 0.567170 
Start: (6.47, -1.42), Iterations: 67.0, Height: 1.056492 
Start: (7.00, -1.42), Iterations: 13.0, Height: 2.081189 
Start: (-3.00, -0.89), Iterations: 100.0, Height: 3.000000 
Start: (-2.47, -0.89), Iterations: 25.0, Height: 1.646255 
Start: (-1.95, -0.89), Iterations: 25.0, Height: 1.207130 
Start: (-1.42, -0.89), Iterations: 93.0, Height: 2.081189 
Start: (-0.89, -0.89), Iterations: 87.0, Height: 1.646255 
Start: (-0.37, -0.89), Iterations: 53.0, Height: 0.276748 
Start: (0.16, -0.89), Iterations: 87.0, Height: 3.000000 
Start: (0.68, -0.89), Iterations: 73.0, Height: 2.397101 
Start: (1.21, -0.89), Iterations: 87.0, Height: 3.000000 
Start: (1.74, -0.89), Iterations: 65.0, Height: 1.056492 
Start: (2.26, -0.89), Iterations: 25.0, Height: 1.056492 
Start: (2.79, -0.89), Iterations: 41.0, Height: 3.000000 
Start: (3.32, -0.89), Iterations: 87.0, Height: 2.464491 
Start: (3.84, -0.89), Iterations: 65.0, Height: 2.397101 
Start: (4.37, -0.89), Iterations: 25.0, Height: 0.291594 
Start: (4.89, -0.89), Iterations: 33.0, Height: 2.275437 
Start: (5.42, -0.89), Iterations: 87.0, Height: 0.567170 
Start: (5.95, -0.89), Iterations: 25.0, Height: 1.854695 
Start: (6.47, -0.89), Iterations: 81.0, Height: 0.291594 
Start: (7.00, -0.89), Iterations: 100.0, Height: 0.291594 
